Provincias;Tipo de hogar;Número de habitaciones de la vivienda;periodo;Total
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2018;789,6
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2017;783,1
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2016;790,0
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2015;788,4
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2014;813,1
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2019;1,6
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2018;0,9
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2017;1,9
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2016;1,1
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2015;2,4
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2014;3,2
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2019;600,1
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2018;588,9
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2017;587,7
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2016;581,8
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2015;574,3
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2014;592,5
Total;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2019;202,0
Total;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2018;199,8
Total;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2017;193,5
Total;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2016;207,1
Total;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2015;211,8
Total;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2014;217,4
Total;Personas que no forman ningún núcleo familiar entre sí;Total;2019;548,6
Total;Personas que no forman ningún núcleo familiar entre sí;Total;2018;537,9
Total;Personas que no forman ningún núcleo familiar entre sí;Total;2017;553,9
Total;Personas que no forman ningún núcleo familiar entre sí;Total;2016;569,9
Total;Personas que no forman ningún núcleo familiar entre sí;Total;2015;557,6
Total;Personas que no forman ningún núcleo familiar entre sí;Total;2014;554,5
Total;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2019;6,8
Total;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2018;7,3
Total;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2017;10,1
Total;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2016;11,7
Total;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2015;9,6
Total;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2014;9,2
Total;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2019;464,0
Total;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2018;463,6
Total;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2017;470,2
Total;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2016;475,1
Total;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2015;470,6
Total;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2014;460,6
Total;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2019;77,8
Total;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2018;67,1
Total;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2017;73,6
Total;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2016;83,1
Total;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2015;77,4
Total;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2014;84,7
Total;Dos o más núcleos familiares;Total;2019;405,2
Total;Dos o más núcleos familiares;Total;2018;361,1
Total;Dos o más núcleos familiares;Total;2017;354,4
Total;Dos o más núcleos familiares;Total;2016;368,4
Total;Dos o más núcleos familiares;Total;2015;375,7
