Provincias;Tipo de hogar;Número de habitaciones de la vivienda;periodo;Total
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2017;..
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2016;..
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2015;..
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2014;..
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2019;27,9
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2018;25,2
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2017;27,6
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2016;29,5
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2015;28,2
Guadalajara;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2014;27,1
Guadalajara;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2019;9,5
Guadalajara;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2018;10,4
Guadalajara;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2017;8,3
Guadalajara;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2016;7,7
Guadalajara;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2015;9,3
Guadalajara;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2014;10,3
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2019;17,0
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2018;14,2
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2017;15,0
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2016;17,0
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2015;16,8
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2014;16,3
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2019;..
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2018;..
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2017;..
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2016;..
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2015;..
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2014;..
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2019;12,7
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2018;10,1
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2017;11,7
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2016;14,0
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2015;13,2
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2014;12,4
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2019;4,3
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2018;4,2
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2017;3,4
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2016;3,0
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2015;3,7
Guadalajara;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2014;3,9
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2019;18,2
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2018;18,5
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2017;17,6
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2016;16,6
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2015;16,8
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2014;17,3
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2019;..
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2018;..
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2017;..
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2016;..
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2015;..
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2014;..
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2019;13,7
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2018;13,7
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2017;13,9
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2016;12,7
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2015;11,8
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2014;11,9
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2019;4,5
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2018;4,8
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2017;3,7
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2016;4,0
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2015;5,0
Guadalajara;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2014;5,3
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2019;2,3
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2018;2,9
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2017;3,3
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2016;3,6
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2015;3,9
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2014;3,8
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2019;..
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2018;..
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2017;..
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2016;..
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2015;..
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2014;..
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2019;1,6
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2018;1,4
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2017;2,0
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2016;2,9
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2015;3,2
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2014;2,7
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2019;0,7
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2018;1,4
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2017;1,3
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2016;0,7
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2015;0,6
Guadalajara;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2014;1,1
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2019;4,0
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2018;5,0
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2017;5,2
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2016;3,8
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2015;2,8
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2014;2,7
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2019;..
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2018;..
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2017;..
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2016;..
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2015;..
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2014;..
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2019;3,0
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2018;2,6
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2017;2,6
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2016;2,9
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2015;2,1
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2014;1,9
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2019;1,0
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2018;2,4
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2017;2,6
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2016;1,0
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2015;0,7
Guadalajara;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2014;0,8
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Total;2019;2,3
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Total;2018;1,9
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Total;2017;2,1
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Total;2016;2,9
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Total;2015;2,0
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Total;2014;1,2
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2019;..
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2018;..
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2017;..
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2016;..
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2015;..
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2014;..
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2019;2,2
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2018;1,5
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2017;1,1
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2016;2,4
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2015;1,9
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2014;0,8
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2019;0,1
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2018;0,4
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2017;1,0
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2016;0,5
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2015;0,2
Guadalajara;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2014;0,4
Guadalajara;Dos o más núcleos familiares;Total;2019;2,0
Guadalajara;Dos o más núcleos familiares;Total;2018;1,7
Guadalajara;Dos o más núcleos familiares;Total;2017;1,2
Guadalajara;Dos o más núcleos familiares;Total;2016;1,6
Guadalajara;Dos o más núcleos familiares;Total;2015;1,8
Guadalajara;Dos o más núcleos familiares;Total;2014;1,7
Guadalajara;Dos o más núcleos familiares;Menos de 3 habitaciones;2019;..
Guadalajara;Dos o más núcleos familiares;Menos de 3 habitaciones;2018;..
Guadalajara;Dos o más núcleos familiares;Menos de 3 habitaciones;2017;..
Guadalajara;Dos o más núcleos familiares;Menos de 3 habitaciones;2016;..
Guadalajara;Dos o más núcleos familiares;Menos de 3 habitaciones;2015;..
Guadalajara;Dos o más núcleos familiares;Menos de 3 habitaciones;2014;..
Guadalajara;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2019;1,1
Guadalajara;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2018;1,2
Guadalajara;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2017;0,9
Guadalajara;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2016;1,2
Guadalajara;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2015;1,3
Guadalajara;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2014;1,1
Guadalajara;Dos o más núcleos familiares;7 o más habitaciones;2019;0,8
Guadalajara;Dos o más núcleos familiares;7 o más habitaciones;2018;0,5
Guadalajara;Dos o más núcleos familiares;7 o más habitaciones;2017;0,3
Guadalajara;Dos o más núcleos familiares;7 o más habitaciones;2016;0,4
Guadalajara;Dos o más núcleos familiares;7 o más habitaciones;2015;0,6
Guadalajara;Dos o más núcleos familiares;7 o más habitaciones;2014;0,6
Huelva;Total (tipo de hogar);Total;2019;196,7
Huelva;Total (tipo de hogar);Total;2018;196,0
Huelva;Total (tipo de hogar);Total;2017;195,4
Huelva;Total (tipo de hogar);Total;2016;195,5
Huelva;Total (tipo de hogar);Total;2015;195,0
Huelva;Total (tipo de hogar);Total;2014;193,5
Huelva;Total (tipo de hogar);Menos de 3 habitaciones;2019;0,4
Huelva;Total (tipo de hogar);Menos de 3 habitaciones;2018;1,4
Huelva;Total (tipo de hogar);Menos de 3 habitaciones;2017;1,8
Huelva;Total (tipo de hogar);Menos de 3 habitaciones;2016;1,9
Huelva;Total (tipo de hogar);Menos de 3 habitaciones;2015;2,1
Huelva;Total (tipo de hogar);Menos de 3 habitaciones;2014;2,1
Huelva;Total (tipo de hogar);Entre 3 y 6 habitaciones;2019;163,7
Huelva;Total (tipo de hogar);Entre 3 y 6 habitaciones;2018;163,0
Huelva;Total (tipo de hogar);Entre 3 y 6 habitaciones;2017;156,4
Huelva;Total (tipo de hogar);Entre 3 y 6 habitaciones;2016;153,6
Huelva;Total (tipo de hogar);Entre 3 y 6 habitaciones;2015;152,1
Huelva;Total (tipo de hogar);Entre 3 y 6 habitaciones;2014;153,3
Huelva;Total (tipo de hogar);7 o más habitaciones;2019;32,5
Huelva;Total (tipo de hogar);7 o más habitaciones;2018;31,6
Huelva;Total (tipo de hogar);7 o más habitaciones;2017;37,2
Huelva;Total (tipo de hogar);7 o más habitaciones;2016;40,0
Huelva;Total (tipo de hogar);7 o más habitaciones;2015;40,8
Huelva;Total (tipo de hogar);7 o más habitaciones;2014;38,2
Huelva;Hogar unipersonal;Total;2019;45,5
Huelva;Hogar unipersonal;Total;2018;44,7
Huelva;Hogar unipersonal;Total;2017;44,4
Huelva;Hogar unipersonal;Total;2016;44,1
Huelva;Hogar unipersonal;Total;2015;43,3
Huelva;Hogar unipersonal;Total;2014;42,1
Huelva;Hogar unipersonal;Menos de 3 habitaciones;2019;0,3
Huelva;Hogar unipersonal;Menos de 3 habitaciones;2018;1,0
Huelva;Hogar unipersonal;Menos de 3 habitaciones;2017;1,4
Huelva;Hogar unipersonal;Menos de 3 habitaciones;2016;1,1
Huelva;Hogar unipersonal;Menos de 3 habitaciones;2015;1,0
Huelva;Hogar unipersonal;Menos de 3 habitaciones;2014;1,5
Huelva;Hogar unipersonal;Entre 3 y 6 habitaciones;2019;39,8
Huelva;Hogar unipersonal;Entre 3 y 6 habitaciones;2018;37,0
Huelva;Hogar unipersonal;Entre 3 y 6 habitaciones;2017;36,1
Huelva;Hogar unipersonal;Entre 3 y 6 habitaciones;2016;36,6
Huelva;Hogar unipersonal;Entre 3 y 6 habitaciones;2015;35,3
Huelva;Hogar unipersonal;Entre 3 y 6 habitaciones;2014;33,9
Huelva;Hogar unipersonal;7 o más habitaciones;2019;5,4
Huelva;Hogar unipersonal;7 o más habitaciones;2018;6,6
Huelva;Hogar unipersonal;7 o más habitaciones;2017;6,9
Huelva;Hogar unipersonal;7 o más habitaciones;2016;6,3
Huelva;Hogar unipersonal;7 o más habitaciones;2015;6,9
Huelva;Hogar unipersonal;7 o más habitaciones;2014;6,7
Huelva;Hogar monoparental;Total;2019;18,8
Huelva;Hogar monoparental;Total;2018;19,2
Huelva;Hogar monoparental;Total;2017;20,2
Huelva;Hogar monoparental;Total;2016;19,5
Huelva;Hogar monoparental;Total;2015;19,1
Huelva;Hogar monoparental;Total;2014;19,2
Huelva;Hogar monoparental;Menos de 3 habitaciones;2019;..
Huelva;Hogar monoparental;Menos de 3 habitaciones;2018;0,1
Huelva;Hogar monoparental;Menos de 3 habitaciones;2017;0,1
Huelva;Hogar monoparental;Menos de 3 habitaciones;2016;..
Huelva;Hogar monoparental;Menos de 3 habitaciones;2015;0,3
Huelva;Hogar monoparental;Menos de 3 habitaciones;2014;0,3
Huelva;Hogar monoparental;Entre 3 y 6 habitaciones;2019;16,4
Huelva;Hogar monoparental;Entre 3 y 6 habitaciones;2018;16,9
Huelva;Hogar monoparental;Entre 3 y 6 habitaciones;2017;15,8
Huelva;Hogar monoparental;Entre 3 y 6 habitaciones;2016;14,5
Huelva;Hogar monoparental;Entre 3 y 6 habitaciones;2015;14,6
Huelva;Hogar monoparental;Entre 3 y 6 habitaciones;2014;15,9
Huelva;Hogar monoparental;7 o más habitaciones;2019;2,4
Huelva;Hogar monoparental;7 o más habitaciones;2018;2,3
Huelva;Hogar monoparental;7 o más habitaciones;2017;4,3
Huelva;Hogar monoparental;7 o más habitaciones;2016;5,0
Huelva;Hogar monoparental;7 o más habitaciones;2015;4,2
Huelva;Hogar monoparental;7 o más habitaciones;2014;3,0
Huelva;Pareja sin hijos que convivan en el hogar;Total;2019;36,8
Huelva;Pareja sin hijos que convivan en el hogar;Total;2018;35,3
Huelva;Pareja sin hijos que convivan en el hogar;Total;2017;34,0
Huelva;Pareja sin hijos que convivan en el hogar;Total;2016;36,0
Huelva;Pareja sin hijos que convivan en el hogar;Total;2015;36,4
Huelva;Pareja sin hijos que convivan en el hogar;Total;2014;36,9
Huelva;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2019;..
Huelva;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2018;0,3
Huelva;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2017;0,3
Huelva;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2016;0,7
Huelva;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2015;0,9
Huelva;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2014;0,3
Huelva;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2019;31,3
Huelva;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2018;30,0
Huelva;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2017;26,8
Huelva;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2016;28,4
Huelva;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2015;28,5
Huelva;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2014;28,9
Huelva;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2019;5,4
Huelva;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2018;5,0
Huelva;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2017;6,8
Huelva;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2016;6,8
Huelva;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2015;7,0
Huelva;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2014;7,7
Huelva;Pareja con hijos que convivan en el hogar: Total;Total;2019;74,6
Huelva;Pareja con hijos que convivan en el hogar: Total;Total;2018;74,4
Huelva;Pareja con hijos que convivan en el hogar: Total;Total;2017;75,7
Huelva;Pareja con hijos que convivan en el hogar: Total;Total;2016;74,7
Huelva;Pareja con hijos que convivan en el hogar: Total;Total;2015;76,3
Huelva;Pareja con hijos que convivan en el hogar: Total;Total;2014;76,8
Huelva;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2019;..
Huelva;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2018;..
Huelva;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2017;..
Huelva;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2016;..
Huelva;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2015;..
Huelva;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2014;..
Huelva;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2019;60,9
Huelva;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2018;61,1
Huelva;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2017;59,8
Huelva;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2016;58,1
Huelva;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2015;59,5
Huelva;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2014;60,8
Huelva;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2019;13,7
Huelva;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2018;13,3
Huelva;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2017;15,9
Huelva;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2016;16,6
Huelva;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2015;16,7
Huelva;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2014;15,9
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2019;33,2
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2018;32,2
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2017;31,9
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2016;33,1
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2015;33,3
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2014;33,3
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2019;..
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2018;..
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2017;..
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2016;..
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2015;..
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2014;..
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2019;27,8
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2018;25,6
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2017;25,1
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2016;26,8
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2015;26,8
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2014;26,9
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2019;5,4
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2018;6,7
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2017;6,8
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2016;6,2
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2015;6,5
Huelva;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2014;6,5
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2019;35,6
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2018;35,9
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2017;35,9
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2016;35,0
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2015;35,8
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2014;35,9
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2019;..
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2018;..
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2017;..
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2016;..
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2015;..
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2014;..
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2019;29,6
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2018;30,7
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2017;29,1
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2016;26,6
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2015;27,5
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2014;28,3
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2019;6,0
Huelva;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2018;5,3
